<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
OTP,0,20140129,102444,4317,436
OTP,0,20140129,102444,4316,800
OTP,0,20140129,102448,4316,284
OTP,0,20140129,102451,4316,3916
OTP,0,20140129,102452,4316,746
OTP,0,20140129,102459,4316,1500
OTP,0,20140129,102500,4316,1500
OTP,0,20140129,102501,4317,400
OTP,0,20140129,102503,4316,1000
OTP,0,20140129,102504,4317,261
OTP,0,20140129,102505,4317,40
OTP,0,20140129,102510,4317,396
OTP,0,20140129,102511,4317,104
OTP,0,20140129,102514,4317,768
OTP,0,20140129,102517,4317,436
OTP,0,20140129,102530,4317,436
OTP,0,20140129,102530,4319,72
OTP,0,20140129,102530,4317,436
OTP,0,20140129,102530,4317,164
OTP,0,20140129,102532,4317,272
OTP,0,20140129,102532,4318,100
OTP,0,20140129,102532,4317,268
OTP,0,20140129,102532,4317,436
OTP,0,20140129,102536,4317,436
OTP,0,20140129,102539,4316,1338
OTP,0,20140129,102539,4316,500
OTP,0,20140129,102540,4316,200
OTP,0,20140129,102548,4316,200
OTP,0,20140129,102549,4316,24
OTP,0,20140129,102600,4317,872
OTP,0,20140129,102629,4317,100
OTP,0,20140129,102638,4317,50
OTP,0,20140129,102648,4317,10
OTP,0,20140129,102717,4317,25
OTP,0,20140129,102738,4317,24
OTP,0,20140129,102738,4317,200
OTP,0,20140129,102743,4317,467
OTP,0,20140129,102744,4317,438
OTP,0,20140129,102744,4317,95
OTP,0,20140129,102750,4317,20
OTP,0,20140129,102809,4317,323
OTP,0,20140129,102810,4317,367
OTP,0,20140129,102810,4317,51
OTP,0,20140129,102814,4317,316
OTP,0,20140129,102814,4317,367
OTP,0,20140129,102814,4317,287
OTP,0,20140129,102832,4319,28
OTP,0,20140129,102832,4320,72
OTP,0,20140129,102834,4320,1928
OTP,0,20140129,102840,4325,5000
OTP,0,20140129,102918,4325,200
OTP,0,20140129,102931,4325,100
OTP,0,20140129,102939,4325,500
OTP,0,20140129,102948,4325,1500
OTP,0,20140129,102949,4325,1500
OTP,0,20140129,102954,4325,15
OTP,0,20140129,102957,4325,100
OTP,0,20140129,103025,4325,1000
OTP,0,20140129,103032,4325,2000
OTP,0,20140129,103040,4322,23
OTP,0,20140129,103040,4321,1477
OTP,0,20140129,103041,4320,1500
OTP,0,20140129,103042,4320,1616
OTP,0,20140129,103042,4324,2000
OTP,0,20140129,103044,4324,50
OTP,0,20140129,103049,4320,2000
OTP,0,20140129,103050,4320,1004
OTP,0,20140129,103105,4318,24
OTP,0,20140129,103121,4319,777
OTP,0,20140129,103121,4320,223
